start_station_id,neighborhood
15691,Marshall Square
519,Evanston
536,Humboldt Park
16953,Greater Grand Crossing
653,Jackson Park
KA1503000046,Woodlawn
KA1503000025,Chicago
564,Englewood
20233,Auburn Gresham
20119,Washington Heights
15599,Greater Grand Crossing
KA1503000021,Woodlawn
16907,Chicago
KP1705001026,Rush & Division
TA1309000008,Chicago Loop
20107,Beverly
20103,South Side
20220,Chicago
554,Back of the Yards
KA1503000051,Back of the Yards
580,South Chicago
573,South Side
20229,South Chicago
20231,Stoney Island Park
202480.0,W Deming Pl
534,Garfield Park
20205,South Side
KA1503000003,Park Manor
15687,South Lawndale
TA1307000134,Lake View East
DIVVY CASSETTE REPAIR MOBILE STATION,Chicago Loop
20244,Englewood
15530,River North
560,West Englewood
KA1503000011,Englewood
TA1307000124,Cook County
651,Greater Grand Crossing
TA1307000160,Washington Park
KA1503000031,Park Manor
553,Back of the Yards
20212,Riverdale
20124,East Beverly
TA1307000111,Cook County
587,South Side
653,Woodlawn
20243,Roseland
TA1305000030,River North
537,Garfield Park
20201,Mount Greenwood
358,Belmont Gardens
KA1503000012,Chicago Loop
RN-,River North
TA1306000012,Rush & Division
588,Stoney Island Park
20210,West Pullman
TA1305000011,Chicago Loop
KA1503000028,South Shore
13006,Cook County
KA1503000053,Chicago
20203,Mount Greenwood
TA1307000117,Streeterville
KA1503000009,Legends South
KA1504000114,Humboldt Park
20120,South Side
20202,Mount Greenwood
20124,East Beverly
579,South Chicago
543,Austin
13034,Rush & Division
20126,Washington Heights
KA1503000013,Legends South
20214,Chicago
TA1307000111,Chicago Loop
TA1305000011,Chicago Loop
TA1308000023,Bronzeville
TA1309000041,Uptown
KA1503000011,Englewood
329.0,North Lawndale
316,Portage Park
20204,Mount Greenwood
317,Portage Park
647,West Englewood
572,Greater Grand Crossing
353,Belmont Central
13080,Near West Side
313,Hanson Park
562,Englewood
KA1503000019,Grand Crossing
556,Back of the Yards
363.0,North Lawndale
20236,Calumet Heights
575,Grand Crossing
TA1307000151,West Town
20257.0,Lake View
582,Avalon Park
20247.0,West Loop
13017,Rush & Division
13021,Cook County
16970,South Chicago
TA1306000010,River North
TA1309000010,Cook County
20129,South Side
20109,Roseland
473,Portage Park
KA1503000072,Chicago Loop
20207,South Side
TA1305000030,Cook County
354,Belmont Central
20209,West Pullman
13285,Tri-Taylor
330.0,Garfield Park
20217,South Deering
KA1504000135,Cabrini-Green
331.0,South Lawndale
355,Belmont Central
13132,West Town
13157,West Loop
TA1308000029,Chicago Loop
